Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,78.25mm,25.000000mm,Bottom,90.0,78.25mm,25.000000mm
C2,76.0mm,25.000000mm,Bottom,90.0,76.0mm,25.000000mm
C3,73.75mm,25.000000mm,Bottom,90.0,73.75mm,25.000000mm
C4,71.5mm,25.000000mm,Bottom,90.0,71.5mm,25.000000mm
C5,69.25mm,25.000000mm,Bottom,90.0,69.25mm,25.000000mm
C6,69.25mm,29.500000mm,Bottom,-90.0,69.25mm,29.500000mm
C7,71.5mm,29.500000mm,Bottom,-90.0,71.5mm,29.500000mm
C8,73.75mm,29.500000mm,Bottom,-90.0,73.75mm,29.500000mm
C9,76.0mm,29.500000mm,Bottom,-90.0,76.0mm,29.500000mm
C10,78.25mm,29.500000mm,Bottom,-90.0,78.25mm,29.500000mm
C14,78.459999mm,10.709999mm,Bottom,90.0,78.459999mm,10.709999mm
C15,76.209999mm,10.709999mm,Bottom,90.0,76.209999mm,10.709999mm
C16,73.959999mm,10.709999mm,Bottom,90.0,73.959999mm,10.709999mm
C17,71.709999mm,10.709999mm,Bottom,90.0,71.709999mm,10.709999mm
C18,69.459999mm,10.709999mm,Bottom,90.0,69.459999mm,10.709999mm
C19,69.5mm,15.000000mm,Bottom,-90.0,69.5mm,15.000000mm
C20,71.75mm,15.000000mm,Bottom,-90.0,71.75mm,15.000000mm
C21,74.0mm,15.000000mm,Bottom,-90.0,74.0mm,15.000000mm
C22,76.25mm,15.000000mm,Bottom,-90.0,76.25mm,15.000000mm
C23,78.5mm,15.000000mm,Bottom,-90.0,78.5mm,15.000000mm
D2,80.5mm,52.500000mm,Bottom,180.0,80.5mm,52.500000mm
D3,80.5mm,55.500000mm,Bottom,180.0,80.5mm,55.500000mm
D4,80.5mm,45.000000mm,Bottom,180.0,80.5mm,45.000000mm
D5,80.5mm,48.000000mm,Bottom,180.0,80.5mm,48.000000mm
R10,68.0mm,52.500000mm,Bottom,0.0,68.0mm,52.500000mm
R11,68.0mm,56.000000mm,Bottom,0.0,68.0mm,56.000000mm
R12,68.0mm,45.000000mm,Bottom,0.0,68.0mm,45.000000mm
R13,68.0mm,48.500000mm,Bottom,0.0,68.0mm,48.500000mm
R15,68.0mm,37.500000mm,Bottom,180.0,68.0mm,37.500000mm
R16,68.0mm,40.500000mm,Bottom,180.0,68.0mm,40.500000mm
R29,63.0mm,56.000000mm,Bottom,180.0,63.0mm,56.000000mm
R30,63.0mm,54.500000mm,Bottom,180.0,63.0mm,54.500000mm
R31,63.0mm,53.000000mm,Bottom,180.0,63.0mm,53.000000mm
R32,63.0mm,51.500000mm,Bottom,180.0,63.0mm,51.500000mm
R33,63.0mm,50.000000mm,Bottom,180.0,63.0mm,50.000000mm
R34,63.0mm,48.500000mm,Bottom,180.0,63.0mm,48.500000mm
SAGSOKET1,91.54mm,51.740000mm,Bottom,180.0,91.54mm,51.740000mm
SOLSOKET1,6.0mm,51.780000mm,Bottom,180.0,6.0mm,51.780000mm
U6,73.5mm,39.500000mm,Bottom,270.0,73.5mm,39.500000mm
U7,73.5mm,54.500000mm,Bottom,270.0,73.5mm,54.500000mm
U8,73.5mm,47.000000mm,Bottom,270.0,73.5mm,47.000000mm
BLUETOOTH1,91.000000mm,75.040000mm,Top,0.0,91.000000mm,75.040000mm
C11,64.709999mm,28.500000mm,Top,0.0,64.709999mm,28.500000mm
C12,64.709999mm,25.500000mm,Top,0.0,64.709999mm,25.500000mm
C13,82.500000mm,24.500000mm,Top,180.0,82.500000mm,24.500000mm
C24,64.500000mm,14.000000mm,Top,0.0,64.500000mm,14.000000mm
C25,64.500000mm,11.000000mm,Top,0.0,64.500000mm,11.000000mm
C26,82.500000mm,10.000000mm,Top,180.0,82.500000mm,10.000000mm
C27,6.500000mm,69.500000mm,Top,0.0,6.500000mm,69.500000mm
C28,6.500000mm,68.000000mm,Top,0.0,6.500000mm,68.000000mm
C29,6.500000mm,66.530000mm,Top,0.0,6.500000mm,66.530000mm
C30,6.500000mm,65.030000mm,Top,0.0,6.500000mm,65.030000mm
C31,6.500000mm,63.530000mm,Top,0.0,6.500000mm,63.530000mm
C32,6.500000mm,62.030000mm,Top,0.0,6.500000mm,62.030000mm
CAN1,27.437502mm,70.581663mm,Top,0.0,27.437502mm,70.581663mm
D8,9.500000mm,58.500000mm,Top,90.0,9.500000mm,58.500000mm
F1,75.000000mm,5.500000mm,Top,180.0,75.000000mm,5.500000mm
F2,75.000000mm,3.000000mm,Top,0.0,75.000000mm,3.000000mm
F3,62.500000mm,18.500000mm,Top,0.0,62.500000mm,18.500000mm
F4,62.500000mm,21.000000mm,Top,0.0,62.500000mm,21.000000mm
F5,15.787500mm,50.500000mm,Top,0.0,15.787500mm,50.500000mm
F6,15.787500mm,52.500000mm,Top,0.0,15.787500mm,52.500000mm
F7,15.787500mm,48.500000mm,Top,0.0,15.787500mm,48.500000mm
F8,15.787500mm,46.500000mm,Top,0.0,15.787500mm,46.500000mm
F9,15.787500mm,44.500000mm,Top,0.0,15.787500mm,44.500000mm
F10,15.787500mm,42.500000mm,Top,0.0,15.787500mm,42.500000mm
L1,6.500000mm,58.712500mm,Top,90.0,6.500000mm,58.712500mm
L2,12.500000mm,58.712500mm,Top,90.0,12.500000mm,58.712500mm
M1,56.375001mm,23.200003mm,Top,180.0,56.375001mm,23.200003mm
M2,16.474999mm,40.525000mm,Top,-90.0,16.474999mm,40.525000mm
M4,80.150000mm,76.582500mm,Top,180.0,80.150000mm,76.582500mm
MAP1,17.500000mm,74.000000mm,Top,180.0,17.500000mm,74.000000mm
MCU1,21.599990mm,30.999990mm,Top,0.0,21.599990mm,30.999990mm
R2,62.700000mm,8.500000mm,Top,0.0,62.700000mm,8.500000mm
R3,62.700000mm,7.000000mm,Top,180.0,62.700000mm,7.000000mm
R4,47.905000mm,72.000000mm,Top,180.0,47.905000mm,72.000000mm
R5,14.000000mm,38.000000mm,Top,0.0,14.000000mm,38.000000mm
R6,18.000000mm,29.500000mm,Top,0.0,18.000000mm,29.500000mm
R7,14.000000mm,35.497072mm,Top,0.0,14.000000mm,35.497072mm
R8,14.000000mm,32.994144mm,Top,0.0,14.000000mm,32.994144mm
R9,83.000000mm,28.500000mm,Top,0.0,83.000000mm,28.500000mm
R14,82.500000mm,14.000000mm,Top,0.0,82.500000mm,14.000000mm
R20,12.787500mm,52.500000mm,Top,0.0,12.787500mm,52.500000mm
R21,12.787500mm,50.500000mm,Top,0.0,12.787500mm,50.500000mm
R22,12.787500mm,48.500000mm,Top,0.0,12.787500mm,48.500000mm
R26,12.787500mm,46.500000mm,Top,0.0,12.787500mm,46.500000mm
R27,12.787500mm,44.500000mm,Top,0.0,12.787500mm,44.500000mm
R28,12.787500mm,42.500000mm,Top,0.0,12.787500mm,42.500000mm
U1,73.875000mm,27.000000mm,Top,0.0,73.875000mm,27.000000mm
U2,73.800000mm,12.500000mm,Top,0.0,73.800000mm,12.500000mm
U4,13.000000mm,65.500000mm,Top,270.0,13.000000mm,65.500000mm
U9,73.500000mm,54.500000mm,Top,270.0,73.500000mm,54.500000mm
U10,73.500000mm,47.000000mm,Top,270.0,73.500000mm,47.000000mm
U11,73.500000mm,39.500000mm,Top,270.0,73.500000mm,39.500000mm
USB1,90.500000mm,59.500000mm,Top,180.0,90.500000mm,59.500000mm
